srcip,listdate,listsource
24.199.101.116,2024-09-22,"BNSHosting, BNSHosting, StampArm, StampArm, StampArm"
109.205.213.112,2025-04-08,"CINS, BNSHosting, StampArm"
45.119.82.75,2025-04-08,"StampArm, BinaryDefense"
196.251.87.45,2025-04-20,"CINS, StampArm, BinaryDefense, CINS, StampArm, IPSum, GreenSnow, APNIC, BlockList.Net.UA, IPSum, BlockList.Net.UA, APNIC, StampArm, BinaryDefense, IPSum, BlockList.Net.UA, APNIC"
204.76.203.196,2025-04-08,BNSHosting
51.83.152.236,2025-04-08,"BNSHosting, GreenSnow"
103.77.173.57,2025-04-20,StampArm
185.224.128.23,2024-09-22,"CINS, StampArm, BNSHosting, CINS, BNSHosting, StampArm"
195.178.110.196,2025-04-20,"BlockList.Net.UA, BNSHosting"
93.123.109.115,2025-04-20,"BlockList.Net.UA, StampArm, GreenSnow, GreenSnow, BlockList.Net.UA, GreenSnow, StampArm, BlockList.Net.UA, StampArm"
23.94.186.206,2025-04-20,"CINS, CINS, CINS, StampArm, BinaryDefense, BinaryDefense, StampArm, StampArm, BinaryDefense"
83.222.191.202,2025-04-20,BNSHosting
182.255.43.178,2025-02-09,BNSHosting
185.242.226.38,2024-09-22,"CINS, StampArm, BinaryDefense, ELLIO, BinaryDefense, CINS, ELLIO, CINS, StampArm, ELLIO, IPSum, StampArm"
183.167.35.31,2025-04-20,"BNSHosting, BlockList.Net.UA"
83.222.190.190,2025-04-20,"StampArm, IPSum, StampArm, ELLIO, ELLIO, StampArm, ELLIO"
150.246.249.149,2025-04-20,"BNSHosting, BNSHosting, StampArm, StampArm, StampArm"
196.251.118.184,2025-04-20,"BlockList.Net.UA, StampArm, BinaryDefense, IPSum, StampArm, APNIC, BlockList.Net.UA, BlockList.Net.UA, BinaryDefense, StampArm"
168.245.141.62,2025-04-13,"BNSHosting, BNSHosting, StampArm, StampArm"
195.178.110.224,2025-04-20,"BinaryDefense, CINS, CINS, StampArm, ELLIO, BinaryDefense, IPSum, ELLIO, StampArm, Abuse.ch, CINS, StampArm, BinaryDefense, IPSum, ELLIO"
121.166.2.253,2024-09-22,"BNSHosting, SecurityGives, BNSHosting, SecurityGives, StampArm"
185.39.17.88,2025-04-20,BNSHosting
192.227.134.74,2025-04-08,BNSHosting
18.209.86.113,2025-04-20,BNSHosting
112.167.23.20,2025-04-20,"CINS, StampArm, CINS, SecurityGives, CINS, SecurityGives, StampArm, StampArm"
176.65.148.10,2025-04-20,"BNSHosting, StampArm, BinaryDefense, IPSum, BlockList.Net.UA, APNIC"
89.248.163.200,2024-09-22,"BNSHosting, BNSHosting, StampArm"
180.232.31.146,2024-09-22,"CINS, StampArm, CINS, StampArm, CINS, StampArm"
8.3.127.151,2025-04-08,BNSHosting
170.78.132.8,2025-04-20,"StampArm, StampArm, StampArm, IPSum"
185.39.17.94,2025-04-20,"BNSHosting, StampArm, BinaryDefense"
81.30.107.104,2025-04-20,"BlockList.Net.UA, GreenSnow, GreenSnow, StampArm, BlockList.Net.UA, IPSum, BlockList.Net.UA, StampArm"
161.248.239.237,2025-04-08,"BNSHosting, StampArm"
